Primary Key,Incident Number,Report Type,Report Type Description,Incident Status Code,Incident Status Description,Investigation Status,Incident Occurred,Incident Reported,Incident Location,ZIP,RPA,Zone,Location Code,Location Description,Offense Number,Offense NIBRS,Offense Description,Weapon Primary,Weapon Description,Victim Number,Domestic Related,Victim Type,Victim Description,Victim Gender,Victim Race,Victim Ethnicity,Victim County Resident,Latitude,Longitude,Mapped Location,grid
20180660403_12,20180660403,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,8/1/2018 16:00,8/1/2018 17:45,1000 2ND AVE N,37201,4231,413,20,"PARKING LOT, GARAGE",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),2,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.175,-86.783,"(36.175, -86.783)",1700
20180663553_11,20180663553,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,8/2/2018 15:21,8/2/2018 16:53,600 VIVIAN DR,37211,8653,835,22,"RESIDENCE, HOME",1,13C,ASSAULT- FEAR OF BODILY INJURY,17,NONE,1,Yes,I,INDIVIDUAL (18 AND OVER),F,A,Non-Hispanic,RESIDENT,36.051,-86.734,"(36.051, -86.734)",2179
20180668408_11,20180668408,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,8/4/2018 8:10,8/4/2018 9:22,900 AIRWAYS CIR,37214,9117,517,90,APARTMENT,1,13C,ASSAULT- FEAR OF BODILY INJURY,17,NONE,1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.151,-86.68,"(36.151, -86.68)",2631
20180668610_11,20180668610,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,8/4/2018 10:30,8/4/2018 11:20,3200 KNOBVIEW DR,37214,9307,515,22,"RESIDENCE, HOME",1,13C,ASSAULT- FEAR OF BODILY INJURY,17,NONE,1,Yes,I,INDIVIDUAL (18 AND OVER),M,W,Non-Hispanic,RESIDENT,36.174,-86.672,"(36.174, -86.672)",2684
20180673275_11,20180673275,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,8/5/2018 22:00,8/6/2018 15:10,3200 PANORAMA DR,37218,3173,625,22,"RESIDENCE, HOME",1,13A,AGGRAV ASSLT - FAMILY-WEAPON,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.183,-86.842,"(36.183, -86.842)",1244
20180673597_11,20180673597,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,8/6/2018 15:52,8/6/2018 17:01,5400 CANE RIDGE RD,37013,8753,331,90,APARTMENT,1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.042,-86.661,"(36.042, -86.661)",2763
20180677493_11,20180677493,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,8/7/2018 20:36,8/7/2018 21:11,400 MURFREESBORO PIKE,37210,8213,511,20,"PARKING LOT, GARAGE",1,13C,ASSAULT- FEAR OF BODILY INJURY,17,NONE,1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.144,-86.748,"(36.144, -86.748)",2030
20180689356_11,20180689356,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,8/11/2018 20:40,8/11/2018 21:24,1100 PETER PAN ST,37115,1521,711,22,"RESIDENCE, HOME",1,13C,ASSAULT- FEAR OF BODILY INJURY,17,NONE,1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.246,-86.709,"(36.246, -86.709)",2328
20180654936_11,20180654936,D,DISPATCHED,A,CLEARED BY ARREST,Closed,7/30/2018 22:20,7/30/2018 23:58,1500 PORTER RD,37206,1335,215,90,APARTMENT,1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.193,-86.726,"(36.193, -86.726)",2220
20180041295_21,20180041295,D,DISPATCHED,A,CLEARED BY ARREST,Closed,1/13/2018 14:32,1/13/2018 15:13,700 S 8TH ST,37206,1023,211,90,APARTMENT,2,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.168,-86.755,"(36.168, -86.755)",1959
20180690379_12,20180690379,D,DISPATCHED,O,OPEN,Open,8/12/2018 2:00,8/12/2018 10:16,COMMERCE ST,,,,3,"BAR, NIGHT CLUB",1,13B,ASSAULT- OFFENSIVE OR PROVOCATIVE CONTACT,9,PERSONAL (HANDS),2,No,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,NON RESIDENT,36.16,-86.78,"(36.16, -86.78)",1765
20180696513_11,20180696513,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,8/14/2018 9:30,8/14/2018 11:57,5500 THALMAN DR,37027,8615,833,22,"RESIDENCE, HOME",1,13C,ASSAULT- FEAR OF BODILY INJURY,17,NONE,1,No,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.046,-86.75,"(36.046, -86.75)",2047
20180100464_11,20180100464,D,DISPATCHED,A,CLEARED BY ARREST,Closed,1/31/2018 5:11,1/31/2018 6:20,2000 BRITT PL,37208,5355,615,22,"RESIDENCE, HOME",1,13B,ASSAULT- OFFENSIVE OR PROVOCATIVE CONTACT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.162,-86.808,"(36.162, -86.808)",1525
20180588490_11,20180588490,D,DISPATCHED,A,CLEARED BY ARREST,Closed,7/8/2018 0:15,7/8/2018 2:49,1600 11TH AVE N,37208,4471,613,22,"RESIDENCE, HOME",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),M,B,Non-Hispanic,RESIDENT,36.178,-86.803,"(36.178, -86.803)",1522
20180113800_11,20180113800,D,DISPATCHED,A,CLEARED BY ARREST,Closed,2/3/2018 19:53,2/3/2018 21:35,200 6TH AVE N,37219,4143,411,14,"HOTEL, MOTEL, ETC.",1,13B,SIMPLE ASSLT - STRANGULATION (NO LOSS OF CONSCIOUSNESS),9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,NON RESIDENT,36.163,-86.782,"(36.163, -86.782)",1702
20180194324_11,20180194324,D,DISPATCHED,A,CLEARED BY ARREST,Closed,2/28/2018 23:00,3/1/2018 8:23,1400 BRICK CHURCH PIKE,37207,3007,621,14,"HOTEL, MOTEL, ETC.",1,13A,INTENTIONAL AGGRAVATED ASSAULT,6,LETHAL/CUTTING INSTRUMENT,1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,NON RESIDENT,36.204,-86.777,"(36.204, -86.777)",1758
20180689492_21,20180689492,D,DISPATCHED,O,OPEN,Open,8/11/2018 22:20,8/11/2018 23:00,LENORE ST,,,,90,APARTMENT,2,13B,SIMPLE ASSLT - STRANGULATION (NO LOSS OF CONSCIOUSNESS),9,PERSONAL (HANDS),1,No,I,INDIVIDUAL (18 AND OVER),M,B,Non-Hispanic,RESIDENT,36.16,-86.75,"(36.16, -86.75)",2027
20180691045_22,20180691045,D,DISPATCHED,O,OPEN,Open,8/12/2018 15:50,8/12/2018 16:17,W TRINITY LN,,,,26,SPECIALTY STORE,2,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),2,No,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.21,-86.78,"(36.21, -86.78)",1757
20180691354_21,20180691354,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,8/12/2018 17:30,8/12/2018 19:36,500 ANDERSON LN,37115,1729,715,22,"RESIDENCE, HOME",2,13C,ASSAULT- FEAR OF BODILY INJURY,16,Unarmed,1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.273,-86.703,"(36.273, -86.703)",2382
20180692890_11,20180692890,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,8/13/2018 9:15,8/13/2018 10:29,1700 RIDGEMERE CT,37076,9523,523,22,"RESIDENCE, HOME",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),M,B,Non-Hispanic,RESIDENT,36.189,-86.601,"(36.189, -86.601)",3184
20180691354_22,20180691354,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,8/12/2018 17:30,8/12/2018 19:36,500 ANDERSON LN,37115,1729,715,22,"RESIDENCE, HOME",2,13C,ASSAULT- FEAR OF BODILY INJURY,16,Unarmed,2,No,I,INDIVIDUAL (18 AND OVER),M,W,Hispanic,RESIDENT,36.273,-86.703,"(36.273, -86.703)",2382
20180689633_11,20180689633,D,DISPATCHED,O,OPEN,Open,8/11/2018 23:45,8/12/2018 2:48,WALLACE RD,,,,14,"HOTEL, MOTEL, ETC.",1,13A,"Assault, Aggravated - Deadly Weapon - Int/Kn",6,LETHAL/CUTTING INSTRUMENT,1,Yes,I,INDIVIDUAL (18 AND OVER),M,B,Non-Hispanic,RESIDENT,36.08,-86.7,"(36.08, -86.7)",2472
20180690520_14,20180690520,D,DISPATCHED,O,OPEN,Open,8/12/2018 9:42,8/12/2018 10:28,WALTERS CT,,,,22,"RESIDENCE, HOME",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),4,No,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.21,-86.83,"(36.21, -86.83)",1351
20180690520_13,20180690520,D,DISPATCHED,O,OPEN,Open,8/12/2018 9:42,8/12/2018 10:28,WALTERS CT,,,,22,"RESIDENCE, HOME",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),3,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.21,-86.83,"(36.21, -86.83)",1351
20180695173_11,20180695173,D,DISPATCHED,A,CLEARED BY ARREST,Closed,8/14/2018 0:45,8/14/2018 2:47,2400 BUENA VISTA PIKE,37218,3101,623,90,APARTMENT,1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.201,-86.824,"(36.201, -86.824)",1352
20180039271_11,20180039271,D,DISPATCHED,A,CLEARED BY ARREST,Closed,1/12/2018 13:00,1/12/2018 17:39,900 WINTHORNE DR,37217,8811,315,90,APARTMENT,1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Hispanic,RESIDENT,36.118,-86.703,"(36.118, -86.703)",2409
20180607537_11,20180607537,D,DISPATCHED,A,CLEARED BY ARREST,Closed,7/14/2018 11:00,7/14/2018 15:00,3900 DICKERSON PIKE,37207,2133,725,20,"PARKING LOT, GARAGE",1,13B,ASSAULT- OFFENSIVE OR PROVOCATIVE CONTACT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,NON RESIDENT,36.27,-86.756,"(36.27, -86.756)",1941
20180451282_11,20180451282,D,DISPATCHED,O,OPEN,Open,5/22/2018 16:28,5/22/2018 21:52,WEDGEWOOD AVE,,,,19,PARK,1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,No,I,INDIVIDUAL (18 AND OVER),M,W,Non-Hispanic,UNKNOWN,36.13,-86.77,"(36.13, -86.77)",1833
20180463038_11,20180463038,D,DISPATCHED,A,CLEARED BY ARREST,Closed,5/26/2018 18:54,5/26/2018 22:44,900 WINTHORNE DR,37217,8811,315,90,APARTMENT,1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.118,-86.703,"(36.118, -86.703)",2409
20180677774_11,20180677774,D,DISPATCHED,O,OPEN,Open,8/7/2018 21:06,8/8/2018 0:00,MURFREESBORO PIKE,,,,20,"PARKING LOT, GARAGE",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,No,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.09,-86.65,"(36.09, -86.65)",2866
20180658680_11,20180658680,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,7/31/2018 21:30,8/1/2018 3:38,1200 EDGEHILL AVE,37212,6631,811,90,APARTMENT,1,13C,ASSAULT- FEAR OF BODILY INJURY,17,NONE,1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.143,-86.788,"(36.143, -86.788)",1643
20180230742_11,20180230742,D,DISPATCHED,A,CLEARED BY ARREST,Closed,3/12/2018 19:00,3/12/2018 22:12,3300 BRICK CHURCH PIKE,37207,2003,721,90,APARTMENT,1,13B,SIMPLE ASSLT - STRANGULATION (NO LOSS OF CONSCIOUSNESS),9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.236,-86.781,"(36.236, -86.781)",1689
20180248654_11,20180248654,D,DISPATCHED,A,CLEARED BY ARREST,Closed,3/17/2018 20:00,3/18/2018 5:03,900 KIPLING DR,37217,8821,531,22,"RESIDENCE, HOME",1,13A,"Assault, Aggravated - Strangulation - Int/Kn",9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.13,-86.699,"(36.13, -86.699)",2463
20180696788_11,20180696788,D,DISPATCHED,O,OPEN,Open,8/14/2018 13:30,8/14/2018 14:34,DEWAIN DR,,,,22,"RESIDENCE, HOME",1,13C,ASSAULT- FEAR OF BODILY INJURY,17,NONE,1,No,I,INDIVIDUAL (18 AND OVER),M,W,Unknown,RESIDENT,36.09,-86.72,"(36.09, -86.72)",2297
20180686738_11,20180686738,D,DISPATCHED,A,CLEARED BY ARREST,Closed,8/10/2018 19:50,8/10/2018 23:06,100 7TH AVE N,37203,4109,421,14,"HOTEL, MOTEL, ETC.",1,13B,"ASSAULT, DOMESTIC, BODILY INJURY 2ND OFFENSE",9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,NON RESIDENT,36.16,-86.781,"(36.16, -86.781)",1702
20180666833_11,20180666833,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,8/3/2018 17:30,8/3/2018 19:16,100 BRIAN CIR,37013,8753,331,22,"RESIDENCE, HOME",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,U,Unknown,UNKNOWN,36.036,-86.675,"(36.036, -86.675)",2651
20180691420_11,20180691420,D,DISPATCHED,R,REFUSED TO COOPERATE,Closed,8/12/2018 19:02,8/12/2018 19:57,800 BRESSLYN RD,37205,5003,121,22,"RESIDENCE, HOME",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,NON RESIDENT,36.121,-86.883,"(36.121, -86.883)",905
20180418800_11,20180418800,D,DISPATCHED,A,CLEARED BY ARREST,Closed,5/11/2018 17:00,5/11/2018 18:57,300 RIO VISTA DR,37115,1713,715,90,APARTMENT,1,13B,SIMPLE ASSLT - STRANGULATION (NO LOSS OF CONSCIOUSNESS),9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.269,-86.683,"(36.269, -86.683)",2552
20180148703_11,20180148703,D,DISPATCHED,A,CLEARED BY ARREST,Closed,2/14/2018 20:10,2/14/2018 21:53,1300 12TH AVE S,37203,6631,811,22,"RESIDENCE, HOME",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.141,-86.788,"(36.141, -86.788)",1644
20180690520_12,20180690520,D,DISPATCHED,O,OPEN,Open,8/12/2018 9:42,8/12/2018 10:28,WALTERS CT,,,,22,"RESIDENCE, HOME",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),2,No,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.21,-86.83,"(36.21, -86.83)",1351
20180444288_11,20180444288,D,DISPATCHED,A,CLEARED BY ARREST,Closed,5/20/2018 14:57,5/20/2018 17:13,600 HICKORY HILLS BLVD,37189,2105,725,22,"RESIDENCE, HOME",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.282,-86.796,"(36.282, -86.796)",1560
20180666040_11,20180666040,W,WITNESS,A,CLEARED BY ARREST,Closed,7/31/2018 18:00,8/3/2018 14:20,500 CHURCH ST,37219,4127,411,22,"RESIDENCE, HOME",1,13C,ASSAULT- FEAR OF BODILY INJURY,17,NONE,1,Yes,I,INDIVIDUAL (18 AND OVER),F,W,Non-Hispanic,RESIDENT,36.163,-86.78,"(36.163, -86.78)",1765
20180693300_22,20180693300,D,DISPATCHED,O,OPEN,Open,8/13/2018 11:30,8/13/2018 0:39,MYATT DR,,,,7,CONVENIENCE STORE,2,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),2,No,I,INDIVIDUAL (18 AND OVER),M,W,Non-Hispanic,RESIDENT,36.28,-86.69,"(36.28, -86.69)",2494
20180686738_12,20180686738,D,DISPATCHED,A,CLEARED BY ARREST,Closed,8/10/2018 19:50,8/10/2018 23:06,100 7TH AVE N,37203,4109,421,14,"HOTEL, MOTEL, ETC.",1,13B,"ASSAULT, DOMESTIC, BODILY INJURY 2ND OFFENSE",9,PERSONAL (HANDS),2,No,I,INDIVIDUAL (18 AND OVER),F,W,Hispanic,NON RESIDENT,36.16,-86.781,"(36.16, -86.781)",1702
20180692896_11,20180692896,D,DISPATCHED,O,OPEN,Open,8/13/2018 9:15,8/13/2018 9:48,DELTA AVE,,,,13,"HIGHWAY, ROAD, ALLEY",1,13B,SIMPLE ASSLT,9,PERSONAL (HANDS),1,No,I,INDIVIDUAL (18 AND OVER),M,B,Non-Hispanic,RESIDENT,36.18,-86.8,"(36.18, -86.8)",1578
20180414364_11,20180414364,D,DISPATCHED,A,CLEARED BY ARREST,Closed,5/10/2018 11:30,5/10/2018 0:41,300 BAKERTOWN RD,37013,8851,323,90,APARTMENT,1,13A,INTENTIONAL AGGRAVATED ASSAULT,12,FIRE/INCENDIARY DEVICES,1,Yes,I,INDIVIDUAL (18 AND OVER),F,B,Non-Hispanic,RESIDENT,36.074,-86.689,"(36.074, -86.689)",2529
20180690379_11,20180690379,D,DISPATCHED,O,OPEN,Open,8/12/2018 2:00,8/12/2018 10:16,COMMERCE ST,,,,3,"BAR, NIGHT CLUB",1,13B,ASSAULT- OFFENSIVE OR PROVOCATIVE CONTACT,9,PERSONAL (HANDS),1,No,I,INDIVIDUAL (18 AND OVER),M,W,Non-Hispanic,NON RESIDENT,36.16,-86.78,"(36.16, -86.78)",1765
